name,selling_price,km_driven,fuel,transmission,mileage,seats
Maruti Wagon R LXI CNG,360000,50000,CNG,Manual,26.6,5
Maruti Swift Dzire VXI,550000,50000,Petrol,Manual,20.85,5
Hyundai i20 Sportz 1.2,375000,70000,Petrol,Manual,18.5,5
Maruti Wagon R AMT VXI,420000,35000,Petrol,Automatic,20.51,5
Maruti Swift Dzire VXI 1.2,550000,20000,Petrol,Manual,21.21,5
Maruti Alto 800 LXI,270000,20000,Petrol,Manual,24.7,5
Maruti Swift Dzire AMT VXI BS IV,700000,7800,Petrol,Automatic,22.0,5
Maruti Swift VXI Optional,500000,20000,Petrol,Manual,20.4,5
Tata Hexa XE,1250000,15000,Diesel,Manual,17.6,7
Hyundai i20 Magna,320000,31377,Petrol,Manual,18.5,5
Maruti Swift Dzire VDI,700000,50000,Diesel,Manual,28.4,5
Maruti Wagon R VXI BS IV,290000,60000,Petrol,Manual,20.51,5
Toyota Corolla Altis 1.8 VL AT,550000,100000,Petrol,Automatic,14.53,5
Honda Brio S MT,265000,60000,Petrol,Manual,19.4,5
Maruti Baleno Alpha Automatic,830000,5000,Petrol,Automatic,21.4,5
Tata Safari Storme EX,800000,60000,Diesel,Manual,14.1,7
Maruti Alto LXi,160000,25000,Petrol,Manual,19.7,5
Renault KWID RXT,335000,30000,Petrol,Manual,25.17,5
Datsun GO T BSIV,329000,80000,Petrol,Manual,20.63,5
Maruti Vitara Brezza VDi Option,775000,75000,Diesel,Manual,24.3,5
Hyundai Xcent 1.2 VTVT SX,524000,32000,Petrol,Manual,20.14,5
Maruti Alto 800 LXI,245000,40000,Petrol,Manual,22.74,5
Hyundai i20 1.2 Sportz,275000,93000,Petrol,Manual,17.0,5
Tata Zest Revotron 1.2 XT,520000,60000,Petrol,Manual,17.57,5
Nissan Sunny XL,550000,37000,Petrol,Manual,16.95,5
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,Petrol,Manual,17.0,5
Nissan Micra Active XV S,300000,80000,Petrol,Manual,19.49,5
Maruti Wagon R LXI Optional,350000,140000,Petrol,Manual,20.51,5
Mahindra Ssangyong Rexton RX5,900000,70000,Diesel,Manual,12.83,7
Mahindra Quanto C8,300000,120000,Diesel,Manual,17.21,7
Maruti Ritz LDi,250000,110000,Diesel,Manual,21.1,5
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,Diesel,Manual,19.67,5
Renault KWID RXT,270000,44000,Petrol,Manual,25.17,5
Maruti Ertiga VDI,640000,80000,Diesel,Manual,20.77,7
Mahindra XUV500 W4,650000,125000,Diesel,Manual,15.1,7
Maruti Eeco 5 Seater AC BSIV,409999,13500,Petrol,Manual,15.37,5
Hyundai Santro Xing GLS,165000,75000,Petrol,Manual,17.92,5
Hyundai Accent GLE,80000,120000,Petrol,Manual,13.2,5
Mahindra XUV500 W8 2WD,535000,120000,Diesel,Manual,15.1,7
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,70000,Diesel,Manual,12.99,7
Maruti Swift Dzire VDI,550000,70000,Diesel,Manual,23.4,5
Honda Amaze S CVT Petrol BSIV,680000,15000,Petrol,Automatic,19.0,5
Hyundai i10 Sportz 1.2,200000,53000,Petrol,Manual,20.36,5
Maruti Swift Dzire VDI,500000,120000,Diesel,Manual,23.4,5
Maruti Ertiga SHVS ZDI Plus,1000000,70000,Diesel,Manual,24.52,7
Hyundai Getz 1.3 GVS,110000,120000,Petrol,Manual,14.2,5
Hyundai i20 1.2 Magna,320000,100000,Petrol,Manual,18.5,5
Maruti Swift LXI Optional-O,350000,100000,Petrol,Manual,20.4,5
Tata Indica Vista TDI LS,170000,162500,Diesel,Manual,19.4,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,800000,39000,Diesel,Manual,22.54,5
Maruti Ignis 1.3 Alpha,500000,75000,Diesel,Manual,26.8,5
Tata Hexa XTA,1380000,50000,Diesel,Automatic,17.6,7
Mahindra Marazzo M6 8Str,1300000,40000,Diesel,Manual,17.3,8
Hyundai Verna 1.6 CRDI,530000,92500,Diesel,Manual,22.32,5
Maruti Swift Dzire VDI,360000,158000,Diesel,Manual,23.4,5
Maruti Swift Dzire LDi,310000,120000,Diesel,Manual,19.3,5
Honda City i DTEC V,725000,50000,Diesel,Manual,26.0,5
Maruti Swift Dzire ZDi,340000,110000,Diesel,Manual,19.3,5
Hyundai Xcent 1.2 CRDi E,550000,2000,Diesel,Manual,25.4,5
Toyota Fortuner 3.0 Diesel,1150000,181000,Diesel,Manual,11.5,7
Tata Tiago 1.05 Revotorq XZ,380000,70000,Diesel,Manual,27.28,5
Nissan Sunny XL AT Special Edition,350000,90000,Petrol,Automatic,17.97,5
Hyundai Elite i20 Magna Plus BSIV,610000,2000,Petrol,Manual,18.6,5
Maruti Swift Dzire VXI,525000,20000,Petrol,Manual,20.85,5
Toyota Innova 2.5 GX 7 STR,480000,120000,Diesel,Manual,12.8,7
Mahindra Thar CRDe,780000,35000,Diesel,Manual,16.55,6
Maruti Swift Dzire ZDi,320000,193000,Diesel,Manual,19.3,5
Maruti Swift 1.2 DLX (Only Delhi),375000,80000,Petrol,Manual,20.4,5
Datsun GO D Petrol,300000,40000,Petrol,Manual,19.02,5
Hyundai i20 Asta 1.4 CRDi,500000,70000,Diesel,Manual,22.54,5
Mahindra Scorpio LX,404000,122358,Diesel,Manual,12.05,9
Tata Sumo Gold EX BSIII,500000,75000,Diesel,Manual,14.07,7
Tata Tiago Wizz 1.05 Revotorq,350000,120000,Diesel,Manual,27.28,5
Tata Zest Revotron 1.2 XT,380000,40000,Petrol,Manual,17.57,5
Hyundai Accent GLE,114999,95200,Petrol,Manual,13.2,5
Honda Brio Exclusive Edition,335000,33033,Petrol,Manual,19.4,5
Hyundai Grand i10 AT Asta,465000,63063,Petrol,Automatic,18.9,5
Tata Manza Club Class Quadrajet90 LX,290000,60000,Diesel,Manual,21.02,5
Maruti Alto LX,110000,45000,Petrol,Manual,19.7,5
Tata New Safari DICOR 2.2 EX 4x2,450000,80000,Diesel,Manual,11.57,7
Mahindra Bolero SLE,400000,170000,Diesel,Manual,13.6,7
Mahindra Bolero DI DX 7 Seater,210000,207890,Diesel,Manual,13.6,7
Mercedes-Benz GL-Class 220d 4MATIC Sport,4600000,7976,Diesel,Automatic,17.9,5
Maruti Omni E MPI STD BS IV,220000,35000,Petrol,Manual,16.8,8
Hyundai Grand i10 Sportz,450000,35000,Petrol,Manual,18.9,5
Hyundai Grand i10 Sportz,450000,35000,Petrol,Manual,18.9,5
Hyundai i10 Sportz AT,290000,50000,Petrol,Automatic,16.95,5
Maruti Swift VXI Deca,520000,20000,Petrol,Manual,20.4,5
Hyundai i10 Sportz AT,265000,20000,Petrol,Automatic,16.95,5
Maruti Swift VXI,330000,50000,Petrol,Manual,18.6,5
Maruti Swift VXI,330000,50000,Petrol,Manual,18.6,5
Mahindra Bolero 2011-2019 ZLX,509999,120000,Diesel,Manual,15.96,7
Hyundai Verna 1.6 SX VTVT (O),500000,70000,Petrol,Manual,17.1,5
Hyundai i20 Active 1.2,525000,50000,Petrol,Manual,17.19,5
Maruti Baleno Zeta,675000,16500,Petrol,Manual,21.01,5
Hyundai i20 1.2 Asta,300000,70000,Petrol,Manual,17.0,5
Maruti Alto LXI,90000,99361,Petrol,Manual,19.7,5
Maruti Swift Dzire VDI,650000,25000,Diesel,Manual,26.59,5
Maruti Swift Dzire VXI,409000,70000,Petrol,Manual,19.1,5
Hyundai Grand i10 CRDi Sportz,395000,80000,Diesel,Manual,24.0,5
Maruti Swift Dzire VXI,400000,70000,Petrol,Manual,19.1,5
Chevrolet Beat LS,120000,60000,Petrol,Manual,18.6,5
Tata Tigor 1.2 Revotron XZA,645000,10000,Petrol,Automatic,20.3,5
Maruti 800 Std,81000,80000,Petrol,Manual,16.1,4
Honda City i-DTEC VX,1300000,30000,Diesel,Manual,25.6,5
Honda City i-DTEC VX,1250000,33000,Diesel,Manual,25.6,5
Maruti Ertiga VXI,535000,90000,Petrol,Manual,16.02,7
Nissan Terrano XV Premium 110 PS,555000,80100,Diesel,Manual,19.01,5
Honda City i VTEC VX,725000,120000,Petrol,Manual,17.4,5
Renault KWID RXL,229999,40000,Petrol,Manual,25.17,5
Toyota Innova 2.5 GX (Diesel) 8 Seater,800000,160000,Diesel,Manual,12.99,8
Maruti Wagon R VXI BS IV,409999,47000,Petrol,Manual,20.51,5
Hyundai Creta 1.4 CRDi S Plus,1210000,25000,Diesel,Manual,21.38,5
Tata Tiago 1.2 Revotron XZ,400000,26000,Petrol,Manual,23.84,5
Hyundai Grand i10 1.2 CRDi Sportz,520000,29000,Diesel,Manual,24.0,5
Maruti Baleno Zeta Automatic,650000,50000,Petrol,Automatic,21.4,5
Maruti Swift ZXI ABS,325000,58000,Petrol,Manual,16.1,5
Maruti Swift Dzire VXi AT,420000,120000,Petrol,Automatic,17.4,5
Maruti Swift LXI Option,400000,50000,Petrol,Manual,20.4,5
Hyundai i20 1.2 Asta,254999,80000,Petrol,Manual,17.0,5
Maruti Zen LXI,65000,60000,Petrol,Manual,17.3,5
Maruti Celerio LXI,351000,36000,Petrol,Manual,23.1,5
Toyota Innova 2.5 V Diesel 8-seater,404000,120000,Diesel,Manual,12.8,8
Maruti Ritz LDi,185000,185000,Diesel,Manual,21.1,5
Nissan Micra Diesel XV,250000,50000,Diesel,Manual,23.08,5
Maruti Zen LXI,60000,100000,Petrol,Manual,17.3,5
Hyundai Verna 1.6 SX VTVT (O),500000,50000,Petrol,Manual,17.1,5
Maruti Zen Estilo LXI BSIII,85000,80000,Petrol,Manual,18.2,5
Maruti Alto LX,85000,80000,Petrol,Manual,19.7,5
Maruti Swift Dzire ZDi,265000,90000,Diesel,Manual,19.3,5
Maruti A-Star Vxi,130000,162000,Petrol,Manual,19.0,5
Maruti Ertiga VDI,480000,110000,Diesel,Manual,20.77,7
Maruti Swift Ldi BSIII,170000,120000,Diesel,Manual,17.8,5
Nissan Micra Diesel XV,275000,45000,Diesel,Manual,23.08,5
Maruti Wagon R LXI,89000,90000,Petrol,Manual,18.9,5
Ford Figo Diesel Titanium,170000,90000,Diesel,Manual,20.0,5
Mahindra XUV300 W8 Option BSIV,1090000,16500,Petrol,Manual,17.0,5
Hyundai Creta 1.6 CRDi AT SX Plus,1100000,67000,Diesel,Automatic,17.01,5
Maruti Swift VXI BSIV,610000,52000,Petrol,Manual,22.0,5
Datsun GO T Option BSIV,335000,40000,Petrol,Manual,20.63,5
Hyundai Grand i10 Asta,434999,40000,Petrol,Manual,18.9,5
Toyota Fortuner 2.8 2WD MT BSIV,3000000,35000,Diesel,Manual,14.24,7
Renault KWID RXL,390000,13000,Petrol,Manual,20.71,5
Honda Brio 1.2 VX MT,325000,40000,Petrol,Manual,18.5,5
Volkswagen Ameo 1.2 MPI Comfortline Plus,640000,10000,Petrol,Manual,17.0,5
Nissan Sunny XV Special Edition,450000,9000,Petrol,Manual,16.95,5
Toyota Etios Liva GD SP,400000,70000,Diesel,Manual,23.59,5
Hyundai i10 Sportz,215000,60000,Petrol,Manual,20.36,5
Renault Duster 85PS Diesel RxL,570000,40000,Diesel,Manual,20.45,5
Mahindra XUV500 W8 2WD,680000,93000,Diesel,Manual,15.1,7
Toyota Innova 2.5 V Diesel 7-seater,325000,80000,Diesel,Manual,12.8,7
Tata Indigo CS eGLX BS IV,150000,50000,Petrol,Manual,15.64,5
Hyundai Elantra SX AT,690000,68000,Petrol,Automatic,14.5,5
Mercedes-Benz New C-Class 220 CDI AT,1550000,25000,Diesel,Automatic,14.84,5
Tata Nano STD,64000,18000,Petrol,Manual,25.4,4
Nissan Micra Diesel XL,250000,120000,Diesel,Manual,23.08,5
Maruti Wagon R LXI,65000,35000,Petrol,Manual,18.9,5
Maruti Swift Dzire VDI,550000,60000,Diesel,Manual,26.59,5
Hyundai i10 Magna,140000,70000,Petrol,Manual,20.36,5
Renault KWID RXT,300000,30000,Petrol,Manual,25.17,5
Volkswagen GTI 1.8 TSI,800000,70000,Petrol,Automatic,16.34,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,13.6,5
Lexus ES 300h,5150000,20000,Petrol,Automatic,22.37,5
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,19.33,5
Tata Safari Storme EX,503000,110000,Diesel,Manual,14.1,7
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,Automatic,18.0,5
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,Automatic,19.16,5
Maruti Wagon R LXI,225000,58343,Petrol,Manual,21.79,5
Maruti Baleno Alpha 1.3,740000,38817,Diesel,Manual,27.39,5
Honda Jazz VX,550000,56494,Petrol,Manual,18.2,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,Manual,12.99,7
Maruti Swift AMT VVT VXI,650000,5621,Petrol,Automatic,22.0,5
Toyota Etios VX,625000,25538,Petrol,Manual,16.78,5
Maruti Swift AMT ZXI,600000,69779,Petrol,Automatic,22.0,5
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,Manual,24.0,5
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,Automatic,16.78,5
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,Automatic,16.78,5
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,Automatic,19.0,5
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Automatic,14.3,5
Volvo V40 D3 R-Design,2475000,2000,Diesel,Automatic,16.8,5
Hyundai i10 Magna,150000,106000,Petrol,Manual,20.36,5
Honda CR-V 2.4L 4WD AT,500000,120000,Petrol,Automatic,11.1,5
Maruti Swift Dzire VDI,480000,90000,Diesel,Manual,26.59,5
Hyundai Verna 1.6 SX CRDi (O),535000,70000,Diesel,Manual,22.32,5
Toyota Innova 2.5 G1 Diesel 8-seater,250000,240000,Diesel,Manual,12.8,8
Maruti SX4 Celebration Diesel,300000,100000,Diesel,Manual,21.5,5
Hyundai Verna XXi ABS (Petrol),340000,214000,Petrol,Manual,13.9,5
Hyundai Verna CRDi SX,340000,214000,Diesel,Manual,16.8,5
Maruti Alto 800 VXI,240000,50000,Petrol,Manual,22.74,5
Honda City i-VTEC CVT V,1085000,1000,Petrol,Automatic,18.0,5
Maruti Swift Dzire AMT VDI,750000,19000,Diesel,Automatic,28.4,5
Tata Indigo LS,95000,265000,Diesel,Manual,17.0,5
Maruti Eeco CNG 5 Seater AC,409999,35000,CNG,Manual,20.88,5
Maruti Alto K10 VXI,215000,80000,Petrol,Manual,23.95,5
Mahindra XUV500 AT W10 AWD,1290000,50000,Diesel,Automatic,16.0,7
Maruti Alto K10 LXI,150000,80000,Petrol,Manual,20.92,5
Hyundai EON Sportz,219000,50000,Petrol,Manual,21.1,5
Tata Tiago 1.2 Revotron XE,325000,100000,Petrol,Manual,23.84,5
Maruti Eeco Smiles 5 Seater AC,260000,120000,Petrol,Manual,15.1,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,13.6,5
Lexus ES 300h,5150000,20000,Petrol,Automatic,22.37,5
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,19.33,5
Tata Safari Storme EX,503000,110000,Diesel,Manual,14.1,7
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,Automatic,18.0,5
